YS(MPa),Hardness,HV(GPa)
146.417,115.027,1.128069789
174.455,123.67,1.21283169
171.34,132.979,1.304125053
155.763,146.277,1.434538539
158.879,166.223,1.630148961
177.57,172.872,1.695355704
252.336,191.489,1.877932623
370.717,235.372,2.308293204
420.561,248.67,2.43870669
464.174,263.298,2.582163486
423.676,268.617,2.634326919
501.558,271.277,2.660413539
532.71,281.915,2.764740405
517.134,296.543,2.908197201
566.978,304.521,2.986437447
616.822,308.511,3.025567377
532.71,315.16,3.09077412
557.632,329.787,3.234221109
610.592,332.447,3.260307729
672.897,341.755,3.351591285
598.131,347.074,3.403754718
732.087,361.702,3.547211514
775.701,364.362,3.573298134
753.894,378.989,3.716745123
738.318,388.963,3.814560141